EGFR	FGFR1	TGFBR1	CD274	PIK3CD	KRAS	SMAD4	PIK3CB	RAF1	CDKN1A	MAP2K1	NFKB1	AKT1	PTEN	MAPK1	E2F1	JUN	CCND1	RB1	BCL2L1	MAPK8	MTOR	BAX	BECN1	MDM2	TP53	CCNE1	CUX1
595.98	463.05	1609.06	51.43	25.23	1516.73	12.53	2031.75	3704.17	13218.17	1694.46	2029.54	8469.17	2773.53	3159.44	494.61	24461.9	21977.88	841.59	11911.61	1066.86	2512.78	5575.18	2398.09	3275.48	2184.04	244.65	8139.81
6154.31	450.03	4317.16	81.72	24	5127.41	1523.77	3516.4	5587.46	4619.08	2510.14	3899.72	7434.98	2958.81	6458.74	314.05	6073.52	11545.14	3811.64	11015.2	891.07	835.43	4505.05	3783.66	2706.39	1438.05	161.69	10817.26
437.43	453.96	2173.4	82.33	29.13	2130.91	1708.72	2141.45	3661.15	10400.27	1934.3	1619.22	7430.09	3056.07	3731.3	657.58	12634.99	8391.99	1169.86	16924.97	826.94	994.88	9217.59	2268.86	6053.15	4329.55	311.53	9844.83
1078.83	378.57	1814.24	221.68	48.4	3035.43	3.46	1351.98	4229.91	10951.88	1729.59	1722.06	6338.32	2970.57	3060.61	452.28	12155.87	6215.86	1290.54	12186	1100.39	674.24	7914.13	1090.23	5414.39	2502.83	187.07	6454.26
1288.11	460.65	1062.67	157.69	29.27	4585.9	8.45	3625.68	5534.29	19919.07	3813.77	3277.48	7069.02	3105.88	3705.14	1047.41	6831.34	10254.83	681.84	23633.54	1669.13	1751.13	5625.82	3150.89	8232.49	747.62	914.07	6608.13
882.58	405.33	1697.2	46.37	21.69	1861.31	22.79	2024.39	4259.93	6068.09	2157.45	1686.22	9480.63	2976.47	2614.28	849.26	7719.68	13191.92	1330.46	13574.87	766.11	1036.02	5887.59	2071.32	1765.6	3229.49	177.06	7539.8
1129.24	447.21	2760.55	70.77	26.97	2743.51	302.93	1630.4	4012.75	11737.01	1643.47	3136.25	7830.75	2952.54	2062.79	465.5	29116.35	6348.21	1069.76	12131.48	806.46	1845.77	4767.39	2596.26	2612.05	5250.91	204.57	6276.73
1866.73	372.18	1754.39	33.48	15.23	4397.74	354.92	1536.63	2202.27	8093.77	2472.93	4063.39	7296.79	3192.59	2731.02	533.81	6290.93	9721.71	1498.24	6229.26	1087.02	1437.13	7410.44	2476.83	2582.65	5481.46	215.95	7982.01
5805.16	409.5	2753.32	821.88	18.41	7486.46	955.72	4161.87	4475.72	7582.56	4069.98	4071.48	7984.08	3035.11	3528.37	1142.23	5378.5	10408.02	1031.96	19362.21	2165.91	3279.81	3174.09	3626.24	3117.75	105.05	425.37	5497.48
872.32	421.78	2977.77	725.01	22.56	3147.15	2497.7	2813.54	4560.78	5494.11	3869.41	2044.21	6027.92	3112.14	6217.91	770.29	2362.84	16222.2	1908.89	28642.11	1888.99	2892.1	3868.17	2772.79	7779	277.56	424.96	6532.31
3183.87	415.92	1616.19	175.46	19.95	1824.07	2086.35	2628.38	4286.06	9521.13	1980.16	2376.47	3424.08	3067.55	3200.67	617.84	34456.37	16522.44	2059.41	29434.55	618.77	810.37	8032.57	2937.91	1881.44	3435.69	263	11332.33
908.61	470.86	4518.64	16.72	20.35	3391.02	2360.19	2773.62	5088.86	5713.66	1765.33	1092	7802.1	3095.17	5379.99	1143.39	4070.24	18900.62	677.91	19312.64	959.83	1751.18	4501.61	3850.56	3791.71	620.66	680.39	11033.11
8959.75	533.02	1749.05	583.61	299.79	6681.48	2732.49	2603.62	4483.35	19638.83	2082.78	2431.14	9500.45	3847.61	6461.08	1023.89	4369.61	37263.27	2513.16	10008.49	2352.64	2143.54	4449.95	3553.32	5044.8	5512	228.97	7811.35
3517.43	3349.43	2354.85	398.39	857.84	2837.36	2432.74	2387.54	5593.7	11984.62	1770.76	2946.24	7500.76	4523.52	2834.92	1262.09	7057.77	15402.98	2193.38	25698.35	851.78	1446.76	11759.3	2408.67	9080.93	3328.84	391.52	6227.47
598.81	414.58	1424.9	46.85	25.37	2896.27	886.46	1663.29	4338.63	10454.73	1789.47	1823.61	8337.76	2882.63	2930.41	908.92	5257.2	8907.87	848.59	10608.62	1358.38	1915.46	4847.27	2506.75	1249.47	2781.92	405.34	11016.76
905.52	429.68	2081.62	25.62	18.65	2386.7	376.15	2549.9	4696.56	7363.71	1509.38	2249.96	2513.92	2837.27	2281.67	429.32	10629.26	7443.63	2298.26	18000.09	473.22	640.37	4777.73	2288.71	5749.68	5429.47	352.8	10210.32
7735.74	246.99	1822.29	138.81	13.98	4321.8	2256.69	1819.9	3213.16	11499.51	3512.02	3712.92	10426.5	3227.47	1997.67	611.71	16165.02	12771.87	2243.65	16065.01	674.17	1486	6727.93	3653.91	2359.03	29.58	161.53	8498.96
2546.58	562.96	4972.46	70.93	18.3	4433.99	375.81	2481.46	6300.58	18197.4	4957.24	3625.55	3468.58	3307.12	5498.87	770.14	10216.77	7375.73	3379.31	12317.51	1278.82	1114.92	6254	3145.37	3467.05	5030.25	289.01	12480.99
701.73	435.77	905.92	62.05	24.97	903.1	2969.87	2098.48	6264.98	3851.98	1707.31	2249.64	5303.57	2975.19	2824.7	182.77	8198.26	5855.19	700.82	5551.41	888.77	1570.77	2273.54	1714.82	1806.27	2449.96	179.13	5130.25
528.91	435.23	1206.34	354.36	10271.71	1532.98	1383.5	1071.3	4590.86	12445.49	2742.88	8440.63	6411.69	3008.08	3496.45	517.08	8189.56	2822.59	2139.91	3468.01	954.12	2061.61	4869.16	2902.6	1135.36	5332.72	221.41	4486.09
308.59	459.33	1693.78	340.04	24.76	2030.93	1881.01	1230	3370.29	11298.3	1930.96	2499.86	6642.16	3142.04	2269.84	550.89	14116.65	2060.53	848.92	4933.94	836.56	560.82	2756.96	2006.54	2035.39	1872.29	250.07	3408.17
6427.11	518.15	1816.63	218.14	53.89	4183.42	2041.99	2677.63	6233.57	5679.42	2912.96	3519.57	6633.69	3153.45	2863.35	468.14	19429.92	11877.93	2008.87	7989.35	1988.44	2536.99	2733.23	1775.61	2133.06	1351.13	110.19	6670.18
3948.32	461.81	7992.42	139.23	24.42	5275.05	1874.29	3497.67	2248.89	8248.99	2184	1828.56	7042.4	3172.18	7002.8	1084.03	4240.43	43618.57	4022.73	11134.76	1268.66	1913.39	2184.45	2548.55	1406.52	336.27	142.34	8442.09
961.4	419.06	2191.98	51.18	23.84	4798.01	10.87	3462.88	3806.69	5654.95	1839.47	4281.58	7023.24	3077.23	7125.95	405.14	17160.63	12275.7	3074.68	13619.57	821.12	3668.79	2902.39	3229.02	1441.11	2245.56	401.62	6834.71
8595.85	511.97	2562.4	287.69	335.71	4768.64	1200.11	1951.01	1677.24	3362.47	2843.42	2183.03	5494.62	2576.74	4715.28	768.32	9873.1	6973.73	296.33	8038.6	1079.39	2470.57	1591.21	2064.22	1006.04	1535.81	287.63	5249.25
3138.42	1648.93	1082.93	34.52	834.27	1394	1734.48	3482.09	3658.41	2723.07	2329.75	3632.94	6318.44	3470.44	6834.19	1518	30974.94	10880.71	2875.28	13610.83	1625.18	3785.25	3733.57	3220.62	1076.69	321	723.64	7769.77
